HI,ES,2019,Quarter,1,OTB_DEF_>=70_0_0,Div,27.8.a,NA,kWd,2384.64,NA,,,,,,,,,,,,,,,,,,,,,
SI,ES,2019,Quarter,1,OTB_DEF_>=70_0_0,Div,27.8.a,NA,HOM,NA,D,R,NA,NA,O,NA,t,4.03385,-9,-9,NA,NA,NA,,,,,,,,,
SI,ES,2019,Quarter,1,OTB_DEF_>=70_0_0,Div,27.8.a,NA,HOM,NA,L,R,NA,H,M,NA,t,0.05439,0.05439,-9,NA,NA,NA,,,,,,,,,
SD,ES,2019,Quarter,1,OTB_DEF_>=70_0_0,Div,27.8.a,NA,HOM,NA,D,R,N,lngt,10,-9,100,-9,-9,-9,-9,kg,k,cm,cm,NA,47.0708,0.00973607,10,-9,-9,-9
SD,ES,2019,Quarter,1,OTB_DEF_>=70_0_0,Div,27.8.a,NA,HOM,NA,D,R,N,lngt,11,-9,100,-9,-9,-9,-9,kg,k,cm,cm,NA,17.2294,0.0128029,11,-9,-9,-9
SD,ES,2019,Quarter,1,OTB_DEF_>=70_0_0,Div,27.8.a,NA,HOM,NA,D,R,N,lngt,12,-9,100,-9,-9,-9,-9,kg,k,cm,cm,NA,28.3702,0.0164555,12,-9,-9,-9
SD,ES,2019,Quarter,1,OTB_DEF_>=70_0_0,Div,27.8.a,NA,HOM,NA,D,R,N,lngt,13,-9,100,-9,-9,-9,-9,kg,k,cm,cm,NA,19.8069,0.0207453,13,-9,-9,-9
SD,ES,2019,Quarter,1,OTB_DEF_>=70_0_0,Div,27.8.a,NA,HOM,NA,D,R,N,lngt,14,-9,100,-9,-9,-9,-9,kg,k,cm,cm,NA,21.0725,0.0257238,14,-9,-9,-9
SD,ES,2019,Quarter,1,OTB_DEF_>=70_0_0,Div,27.8.a,NA,HOM,NA,D,R,N,lngt,15,-9,100,-9,-9,-9,-9,kg,k,cm,cm,NA,21.7709,0.0314427,15,-9,-9,-9
SD,ES,2019,Quarter,1,OTB_DEF_>=70_0_0,Div,27.8.a,NA,HOM,NA,D,R,N,lngt,16,-9,100,-9,-9,-9,-9,kg,k,cm,cm,NA,11.7559,0.0379534,16,-9,-9,-9
SD,ES,2019,Quarter,1,OTB_DEF_>=70_0_0,Div,27.8.a,NA,HOM,NA,D,R,N,lngt,17,-9,100,-9,-9,-9,-9,kg,k,cm,cm,NA,3.14125,0.0453076,17,-9,-9,-9
